route_id,route_name,closed,index,latitude,longitude,east_m,north_m,distance_m,path_yaw_rad
"route-1788717016546","10_parallel-left-in",false,0,37.2886598998,127.1074883267,22.587631,-7.890913,0.000000,2.3345959411
"route-1788717016546","10_parallel-left-in",false,1,37.2886627769,127.1074848782,22.281834,-7.571612,0.442114,2.3345959411
"route-1788717016546","10_parallel-left-in",false,2,37.2886656539,127.1074814296,21.976037,-7.252312,0.884227,2.3345959411
"route-1788717016546","10_parallel-left-in",false,3,37.2886685309,127.1074779811,21.670240,-6.933012,1.326341,2.3345959411
"route-1788717016546","10_parallel-left-in",false,4,37.2886714079,127.1074745325,21.364443,-6.613711,1.768455,2.3345959411
"route-1788717016546","10_parallel-left-in",false,5,37.2886742849,127.1074710840,21.058646,-6.294411,2.210568,2.3345959411
"route-1788717016546","10_parallel-left-in",false,6,37.2886771620,127.1074676354,20.752849,-5.975111,2.652682,2.3345959411
"route-1788717016546","10_parallel-left-in",false,7,37.2886800390,127.1074641868,20.447052,-5.655810,3.094796,2.0014380486
"route-1788717016546","10_parallel-left-in",false,8,37.2886831732,127.1074623847,20.287252,-5.307963,3.477593,2.0014380486
"route-1788717016546","10_parallel-left-in",false,9,37.2886863074,127.1074605826,20.127452,-4.960116,3.860390,2.0014380486
"route-1788717016546","10_parallel-left-in",false,10,37.2886894417,127.1074587805,19.967652,-4.612270,4.243187,2.0014380486
"route-1788717016546","10_parallel-left-in",false,11,37.2886925759,127.1074569784,19.807851,-4.264423,4.625984,1.6277950575
"route-1788717016546","10_parallel-left-in",false,12,37.2886964882,127.1074566990,19.783076,-3.830231,5.060882,1.6277950575
"route-1788717016546","10_parallel-left-in",false,13,37.2887004004,127.1074564196,19.758301,-3.396039,5.495781,1.6277950575
"route-1788717016546","10_parallel-left-in",false,14,37.2887043126,127.1074561402,19.733526,-2.961847,5.930679,1.5707963268
"route-1788717016546","10_parallel-left-in",false,15,37.2887077136,127.1074561402,19.733526,-2.584396,6.308130,1.5707963268
"route-1788717016546","10_parallel-left-in",false,16,37.2887111146,127.1074561402,19.733526,-2.206945,6.685580,1.8167784218
"route-1788717016546","10_parallel-left-in",false,17,37.2887137820,127.1074553020,19.659200,-1.910905,6.990808,1.8167784218
"route-1788717016546","10_parallel-left-in",false,18,37.2887164494,127.1074544638,19.584874,-1.614865,7.296036,2.0850066565
"route-1788717016546","10_parallel-left-in",false,19,37.2887185834,127.1074529551,19.451088,-1.378034,7.568043,2.0850066565
"route-1788717016546","10_parallel-left-in",false,20,37.2887207173,127.1074514464,19.317302,-1.141202,7.840051,2.5435246841
"route-1788717016546","10_parallel-left-in",false,21,37.2887224512,127.1074482612,19.034864,-0.948776,8.181809,2.5435246841
"route-1788717016546","10_parallel-left-in",false,22,37.2887241850,127.1074450761,18.752427,-0.756350,8.523567,2.7693103864
"route-1788717016546","10_parallel-left-in",false,23,37.2887255187,127.1074408013,18.373366,-0.608330,8.930503,2.7693103864
"route-1788717016546","10_parallel-left-in",false,24,37.2887268524,127.1074365266,17.994305,-0.460310,9.337439,-0.3645006968
"route-1788717016546","10_parallel-left-in",false,25,37.2887254854,127.1074410109,18.391947,-0.612031,9.763043,-0.3645006968
"route-1788717016546","10_parallel-left-in",false,26,37.2887241183,127.1074454952,18.789590,-0.763751,10.188647,-0.3645006968
"route-1788717016546","10_parallel-left-in",false,27,37.2887227513,127.1074499795,19.187232,-0.915471,10.614251,-0.3645006968
"route-1788717016546","10_parallel-left-in",false,28,37.2887213842,127.1074544638,19.584874,-1.067192,11.039854,-0.3645006968
