route_id,route_name,closed,index,latitude,longitude,east_m,north_m,distance_m,path_yaw_rad
"route-1788716704077","10_parallel-right-in",false,0,37.2886598998,127.1074883267,22.587631,-7.890913,0.000000,2.3080751948
"route-1788716704077","10_parallel-right-in",false,1,37.2886630341,127.1074847644,22.271747,-7.543066,0.469873,2.3080751948
"route-1788716704077","10_parallel-right-in",false,2,37.2886661683,127.1074812021,21.955863,-7.195219,0.939745,2.3080751948
"route-1788716704077","10_parallel-right-in",false,3,37.2886693026,127.1074776398,21.639979,-6.847372,1.409618,2.3080751948
"route-1788716704077","10_parallel-right-in",false,4,37.2886724368,127.1074740775,21.324095,-6.499525,1.879491,2.3080751948
"route-1788716704077","10_parallel-right-in",false,5,37.2886755710,127.1074705152,21.008211,-6.151678,2.349363,2.3080751948
"route-1788716704077","10_parallel-right-in",false,6,37.2886787053,127.1074669529,20.692327,-5.803831,2.819236,2.3080751948
"route-1788716704077","10_parallel-right-in",false,7,37.2886818395,127.1074633906,20.376443,-5.455983,3.289109,2.3080751948
"route-1788716704077","10_parallel-right-in",false,8,37.2886849737,127.1074598283,20.060559,-5.108136,3.758981,2.2897087290
"route-1788716704077","10_parallel-right-in",false,9,37.2886880857,127.1074564196,19.758301,-4.762757,4.217944,2.2897087290
"route-1788716704077","10_parallel-right-in",false,10,37.2886911977,127.1074530110,19.456043,-4.417377,4.676907,2.2897087290
"route-1788716704077","10_parallel-right-in",false,11,37.2886943097,127.1074496023,19.153786,-4.071997,5.135870,2.5583338174
"route-1788716704077","10_parallel-right-in",false,12,37.2886967549,127.1074449643,18.742517,-3.800627,5.628601,2.5583338174
"route-1788716704077","10_parallel-right-in",false,13,37.2886992000,127.1074403264,18.331248,-3.529257,6.121332,2.5583338174
"route-1788716704077","10_parallel-right-in",false,14,37.2887016452,127.1074356884,17.919979,-3.257887,6.614062,-0.3905106303
"route-1788716704077","10_parallel-right-in",false,15,37.2887000003,127.1074406896,18.363456,-3.440445,7.093644,-0.3905106303
"route-1788716704077","10_parallel-right-in",false,16,37.2886983554,127.1074456908,18.806932,-3.623003,7.573226,-0.3905106303
"route-1788716704077","10_parallel-right-in",false,17,37.2886967104,127.1074506920,19.250409,-3.805561,8.052808,-0.3905106303
"route-1788716704077","10_parallel-right-in",false,18,37.2886950655,127.1074556932,19.693885,-3.988119,8.532390,-0.3905106303
"route-1788716704077","10_parallel-right-in",false,19,37.2886934206,127.1074606944,20.137362,-4.170677,9.011972,-0.3905106303
"route-1788716704077","10_parallel-right-in",false,20,37.2886917757,127.1074656956,20.580838,-4.353235,9.491554,-0.3442013418
"route-1788716704077","10_parallel-right-in",false,21,37.2886905753,127.1074698865,20.952467,-4.486453,9.886338,-0.3442013418
"route-1788716704077","10_parallel-right-in",false,22,37.2886893750,127.1074740775,21.324095,-4.619671,10.281122,-0.2771773992
"route-1788716704077","10_parallel-right-in",false,23,37.2886884414,127.1074781846,21.688291,-4.723284,10.659771,-0.2771773992
"route-1788716704077","10_parallel-right-in",false,24,37.2886875078,127.1074822918,22.052487,-4.826898,11.038419,-0.3272554517
"route-1788716704077","10_parallel-right-in",false,25,37.2886865075,127.1074859798,22.379519,-4.937913,11.383781,-0.3272554517
"route-1788716704077","10_parallel-right-in",false,26,37.2886855072,127.1074896678,22.706552,-5.048928,11.729143,0.1349590848
"route-1788716704077","10_parallel-right-in",false,27,37.2886859073,127.1074933559,23.033585,-5.004522,12.059177,0.1349590848
"route-1788716704077","10_parallel-right-in",false,28,37.2886863074,127.1074970439,23.360618,-4.960116,12.389211,0.4827258475
"route-1788716704077","10_parallel-right-in",false,29,37.2886876412,127.1075002290,23.643056,-4.812096,12.708085,0.4827258475
"route-1788716704077","10_parallel-right-in",false,30,37.2886889749,127.1075034142,23.925493,-4.664076,13.026959,0.6462845023
"route-1788716704077","10_parallel-right-in",false,31,37.2886906420,127.1075061802,24.170768,-4.479052,13.334195,0.6462845023
"route-1788716704077","10_parallel-right-in",false,32,37.2886923092,127.1075089462,24.416043,-4.294027,13.641431,0.7628666339
"route-1788716704077","10_parallel-right-in",false,33,37.2886939096,127.1075110417,24.601857,-4.116403,13.898486,0.7628666339
"route-1788716704077","10_parallel-right-in",false,34,37.2886955101,127.1075131372,24.787671,-3.938779,14.155541,0.5385435844
"route-1788716704077","10_parallel-right-in",false,35,37.2886967104,127.1075156517,25.010648,-3.805561,14.415283,0.5385435844
"route-1788716704077","10_parallel-right-in",false,36,37.2886979108,127.1075181663,25.233625,-3.672343,14.675024,0.1302780041
"route-1788716704077","10_parallel-right-in",false,37,37.2886982442,127.1075213514,25.516063,-3.635338,14.959876,0.1302780041
"route-1788716704077","10_parallel-right-in",false,38,37.2886985776,127.1075245366,25.798500,-3.598333,15.244727,-0.2710458924
"route-1788716704077","10_parallel-right-in",false,39,37.2886977774,127.1075281408,26.118101,-3.687145,15.576438,-0.2710458924
"route-1788716704077","10_parallel-right-in",false,40,37.2886969772,127.1075317450,26.437701,-3.775957,15.908148,-0.3706285284
"route-1788716704077","10_parallel-right-in",false,41,37.2886959102,127.1075351816,26.742436,-3.894373,16.235083,-0.3706285284
"route-1788716704077","10_parallel-right-in",false,42,37.2886948432,127.1075386181,27.047171,-4.012789,16.562017,2.7834445860
"route-1788716704077","10_parallel-right-in",false,43,37.2886962570,127.1075338908,26.627975,-3.855887,17.009615,2.7834445860
"route-1788716704077","10_parallel-right-in",false,44,37.2886976707,127.1075291634,26.208778,-3.698986,17.457212,2.7834445860
"route-1788716704077","10_parallel-right-in",false,45,37.2886990845,127.1075244360,25.789581,-3.542085,17.904810,2.7834445860
"route-1788716704077","10_parallel-right-in",false,46,37.2887004982,127.1075197086,25.370384,-3.385184,18.352408,2.7834445860
"route-1788716704077","10_parallel-right-in",false,47,37.2887019119,127.1075149812,24.951188,-3.228283,18.800006,2.7834445860
