route_id,route_name,closed,index,latitude,longitude,east_m,north_m,distance_m,path_yaw_rad
"route-1788717129893","11-parallel-left-out",false,0,37.2887213842,127.1074544638,19.584874,-1.067192,0.000000,-0.3334182548
"route-1788717129893","11-parallel-left-out",false,1,37.2887203172,127.1074583195,19.926772,-1.185608,0.361824,-0.3334182548
"route-1788717129893","11-parallel-left-out",false,2,37.2887192502,127.1074621752,20.268671,-1.304024,0.723648,-2.8933561891
"route-1788717129893","11-parallel-left-out",false,3,37.2887183166,127.1074575651,19.859879,-1.407638,1.145366,-2.8933561891
"route-1788717129893","11-parallel-left-out",false,4,37.2887173830,127.1074529551,19.451088,-1.511252,1.567084,-2.7625518114
"route-1788717129893","11-parallel-left-out",false,5,37.2887157826,127.1074479260,19.005134,-1.688875,2.047110,-2.7625518114
"route-1788717129893","11-parallel-left-out",false,6,37.2887141821,127.1074428968,18.559180,-1.866499,2.527137,-2.7524819582
"route-1788717129893","11-parallel-left-out",false,7,37.2887129373,127.1074390970,18.222237,-2.004651,2.891302,-2.7524819582
"route-1788717129893","11-parallel-left-out",false,8,37.2887116925,127.1074352972,17.885294,-2.142803,3.255468,-2.7524819582
"route-1788717129893","11-parallel-left-out",false,9,37.2887104477,127.1074314974,17.548351,-2.280955,3.619633,-2.7812700287
"route-1788717129893","11-parallel-left-out",false,10,37.2887092029,127.1074273624,17.181678,-2.419107,4.011469,-2.7812700287
"route-1788717129893","11-parallel-left-out",false,11,37.2887079581,127.1074232273,16.815005,-2.557259,4.403305,-2.7812700287
"route-1788717129893","11-parallel-left-out",false,12,37.2887067133,127.1074190922,16.448331,-2.695411,4.795141,-2.7842191262
"route-1788717129893","11-parallel-left-out",false,13,37.2887055130,127.1074150689,16.091568,-2.828629,5.175965,-2.7842191262
"route-1788717129893","11-parallel-left-out",false,14,37.2887043126,127.1074110456,15.734805,-2.961847,5.556789,-2.7842191262
"route-1788717129893","11-parallel-left-out",false,15,37.2887031123,127.1074070223,15.378042,-3.095065,5.937613,-2.9028294838
"route-1788717129893","11-parallel-left-out",false,16,37.2887021342,127.1074019931,14.932088,-3.203613,6.396587,-2.9028294838
"route-1788717129893","11-parallel-left-out",false,17,37.2887011562,127.1073969640,14.486134,-3.312161,6.855562,-2.9028294838
"route-1788717129893","11-parallel-left-out",false,18,37.2887001781,127.1073919348,14.040180,-3.420709,7.314537,-3.1194684303
"route-1788717129893","11-parallel-left-out",false,19,37.2887000892,127.1073869057,13.594226,-3.430577,7.760600,-3.1194684303
"route-1788717129893","11-parallel-left-out",false,20,37.2887000003,127.1073818766,13.148272,-3.440445,8.206663,-3.1194684303
"route-1788717129893","11-parallel-left-out",false,21,37.2886999114,127.1073768474,12.702318,-3.450313,8.652726,3.1006941336
"route-1788717129893","11-parallel-left-out",false,22,37.2887000447,127.1073727682,12.340599,-3.435511,9.014747,3.1006941336
"route-1788717129893","11-parallel-left-out",false,23,37.2887001781,127.1073686890,11.978881,-3.420709,9.376768,3.1006941336
"route-1788717129893","11-parallel-left-out",false,24,37.2887003115,127.1073646098,11.617163,-3.405907,9.738789,3.0539571629
"route-1788717129893","11-parallel-left-out",false,25,37.2887005782,127.1073608100,11.280220,-3.376303,10.077030,3.0539571629
"route-1788717129893","11-parallel-left-out",false,26,37.2887008450,127.1073570102,10.943277,-3.346699,10.415271,3.0539571629
"route-1788717129893","11-parallel-left-out",false,27,37.2887011117,127.1073532104,10.606334,-3.317095,10.753512,2.9225827968
"route-1788717129893","11-parallel-left-out",false,28,37.2887019564,127.1073484607,10.185155,-3.223349,11.184998,2.9225827968
"route-1788717129893","11-parallel-left-out",false,29,37.2887028011,127.1073437110,9.763976,-3.129603,11.616483,2.9225827968
"route-1788717129893","11-parallel-left-out",false,30,37.2887036458,127.1073389612,9.342798,-3.035857,12.047969,2.7922359020
"route-1788717129893","11-parallel-left-out",false,31,37.2887050747,127.1073340518,8.907462,-2.877264,12.511293,2.7922359020
"route-1788717129893","11-parallel-left-out",false,32,37.2887065037,127.1073291424,8.472125,-2.718671,12.974617,2.7922359020
"route-1788717129893","11-parallel-left-out",false,33,37.2887079327,127.1073242330,8.036789,-2.560078,13.437941,2.7922359020
"route-1788717129893","11-parallel-left-out",false,34,37.2887093617,127.1073193236,7.601453,-2.401486,13.901265,2.7922359020
"route-1788717129893","11-parallel-left-out",false,35,37.2887107907,127.1073144142,7.166117,-2.242893,14.364589,2.7922359020
"route-1788717129893","11-parallel-left-out",false,36,37.2887122197,127.1073095048,6.730781,-2.084300,14.827913,2.7922359020
"route-1788717129893","11-parallel-left-out",false,37,37.2887136486,127.1073045954,6.295445,-1.925707,15.291237,2.7922359020
