route_id,route_name,closed,index,latitude,longitude,east_m,north_m,distance_m,path_yaw_rad
"route-1788716914494","11_parallel-right-out",false,0,37.2887019119,127.1075149812,24.951188,-3.228283,0.000000,-0.3581480676
"route-1788716914494","11_parallel-right-out",false,1,37.2887004982,127.1075197086,25.370384,-3.385184,0.447598,-0.3581480676
"route-1788716914494","11_parallel-right-out",false,2,37.2886990845,127.1075244360,25.789581,-3.542085,0.895196,-0.3581480676
"route-1788716914494","11_parallel-right-out",false,3,37.2886976707,127.1075291634,26.208778,-3.698986,1.342794,-0.3581480676
"route-1788716914494","11_parallel-right-out",false,4,37.2886962570,127.1075338908,26.627975,-3.855887,1.790392,-0.3581480676
"route-1788716914494","11_parallel-right-out",false,5,37.2886948432,127.1075386181,27.047171,-4.012789,2.237990,2.7709641251
"route-1788716914494","11_parallel-right-out",false,6,37.2886959102,127.1075351816,26.742436,-3.894373,2.564924,2.7709641251
"route-1788716914494","11_parallel-right-out",false,7,37.2886969772,127.1075317450,26.437701,-3.775957,2.891858,2.8705467612
"route-1788716914494","11_parallel-right-out",false,8,37.2886977774,127.1075281408,26.118101,-3.687145,3.223568,2.8705467612
"route-1788716914494","11_parallel-right-out",false,9,37.2886985776,127.1075245366,25.798500,-3.598333,3.555279,-3.0113146495
"route-1788716914494","11_parallel-right-out",false,10,37.2886982442,127.1075213514,25.516063,-3.635338,3.840131,-3.0113146495
"route-1788716914494","11_parallel-right-out",false,11,37.2886979108,127.1075181663,25.233625,-3.672343,4.124982,-2.6030490692
"route-1788716914494","11_parallel-right-out",false,12,37.2886967104,127.1075156517,25.010648,-3.805561,4.384724,-2.6030490692
"route-1788716914494","11_parallel-right-out",false,13,37.2886955101,127.1075131372,24.787671,-3.938779,4.644465,-2.6362990451
"route-1788716914494","11_parallel-right-out",false,14,37.2886941764,127.1075101197,24.520099,-4.086799,4.950251,-2.6362990451
"route-1788716914494","11_parallel-right-out",false,15,37.2886928427,127.1075071022,24.252526,-4.234819,5.256037,-2.6271871253
"route-1788716914494","11_parallel-right-out",false,16,37.2886909755,127.1075029671,23.885853,-4.442047,5.677217,-2.6271871253
"route-1788716914494","11_parallel-right-out",false,17,37.2886891083,127.1074988320,23.519180,-4.649275,6.098397,-2.6271871253
"route-1788716914494","11_parallel-right-out",false,18,37.2886872410,127.1074946970,23.152506,-4.856502,6.519577,-2.8415708797
"route-1788716914494","11_parallel-right-out",false,19,37.2886861741,127.1074903803,22.769729,-4.974918,6.920253,-2.8415708797
"route-1788716914494","11_parallel-right-out",false,20,37.2886851071,127.1074860636,22.386952,-5.093334,7.320928,-2.8415708797
"route-1788716914494","11_parallel-right-out",false,21,37.2886840401,127.1074817469,22.004175,-5.211750,7.721603,-2.8415708797
"route-1788716914494","11_parallel-right-out",false,22,37.2886829732,127.1074774303,21.621398,-5.330166,8.122279,-3.0159314270
"route-1788716914494","11_parallel-right-out",false,23,37.2886825197,127.1074729376,21.223012,-5.380493,8.523830,-3.0159314270
"route-1788716914494","11_parallel-right-out",false,24,37.2886820662,127.1074684449,20.824627,-5.430820,8.925382,-3.0159314270
"route-1788716914494","11_parallel-right-out",false,25,37.2886816128,127.1074639522,20.426241,-5.481147,9.326934,-3.0159314270
"route-1788716914494","11_parallel-right-out",false,26,37.2886811593,127.1074594595,20.027855,-5.531474,9.728486,-3.0159314270
"route-1788716914494","11_parallel-right-out",false,27,37.2886807058,127.1074549668,19.629470,-5.581800,10.130038,3.0816793304
"route-1788716914494","11_parallel-right-out",false,28,37.2886809726,127.1074494012,19.135947,-5.552196,10.624447,3.0816793304
"route-1788716914494","11_parallel-right-out",false,29,37.2886812393,127.1074438356,18.642425,-5.522592,11.118857,3.0816793304
"route-1788716914494","11_parallel-right-out",false,30,37.2886815061,127.1074382700,18.148903,-5.492988,11.613266,3.0816793304
"route-1788716914494","11_parallel-right-out",false,31,37.2886817728,127.1074327044,17.655380,-5.463384,12.107676,3.0816793304
"route-1788716914494","11_parallel-right-out",false,32,37.2886820396,127.1074271388,17.161858,-5.433780,12.602085,2.9238232848
"route-1788716914494","11_parallel-right-out",false,33,37.2886829160,127.1074221815,16.722274,-5.336510,13.052302,2.9238232848
"route-1788716914494","11_parallel-right-out",false,34,37.2886837924,127.1074172242,16.282691,-5.239240,13.502518,2.9238232848
"route-1788716914494","11_parallel-right-out",false,35,37.2886846689,127.1074122669,15.843108,-5.141970,13.952735,2.9238232848
"route-1788716914494","11_parallel-right-out",false,36,37.2886855453,127.1074073096,15.403525,-5.044699,14.402951,2.9238232848
"route-1788716914494","11_parallel-right-out",false,37,37.2886864218,127.1074023524,14.963942,-4.947429,14.853168,2.9238232848
"route-1788716914494","11_parallel-right-out",false,38,37.2886872982,127.1073973951,14.524358,-4.850159,15.303384,2.9238232848
"route-1788716914494","11_parallel-right-out",false,39,37.2886881746,127.1073924378,14.084775,-4.752888,15.753601,2.7934230082
"route-1788716914494","11_parallel-right-out",false,40,37.2886896731,127.1073872706,13.626579,-4.586584,16.241044,2.7934230082
"route-1788716914494","11_parallel-right-out",false,41,37.2886911716,127.1073821034,13.168383,-4.420279,16.728487,2.7934230082
"route-1788716914494","11_parallel-right-out",false,42,37.2886926701,127.1073769362,12.710187,-4.253974,17.215930,2.7934230082
"route-1788716914494","11_parallel-right-out",false,43,37.2886941685,127.1073717690,12.251992,-4.087669,17.703373,2.7934230082
"route-1788716914494","11_parallel-right-out",false,44,37.2886956670,127.1073666018,11.793796,-3.921365,18.190816,2.7934230082
"route-1788716914494","11_parallel-right-out",false,45,37.2886971655,127.1073614346,11.335600,-3.755060,18.678259,2.7934230082
"route-1788716914494","11_parallel-right-out",false,46,37.2886986639,127.1073562674,10.877404,-3.588755,19.165702,2.7934230082
"route-1788716914494","11_parallel-right-out",false,47,37.2887001624,127.1073511002,10.419208,-3.422450,19.653145,2.7934230082
"route-1788716914494","11_parallel-right-out",false,48,37.2887016609,127.1073459330,9.961012,-3.256146,20.140589,2.7934230082
"route-1788716914494","11_parallel-right-out",false,49,37.2887031593,127.1073407658,9.502816,-3.089841,20.628032,2.7934230082
"route-1788716914494","11_parallel-right-out",false,50,37.2887046578,127.1073355986,9.044620,-2.923536,21.115475,2.7934230082
