route_id,route_name,closed,index,latitude,longitude,east_m,north_m,distance_m,path_yaw_rad
"route-1788713848585","2",false,0,37.2889230418,127.1069029346,-29.321414,21.313390,0.000000,-0.5385422694
"route-1788713848585","2",false,1,37.2889208412,127.1069075447,-28.912623,21.069157,0.476193,-0.5385422694
"route-1788713848585","2",false,2,37.2889186406,127.1069121547,-28.503832,20.824925,0.952386,-0.4941140512
"route-1788713848585","2",false,3,37.2889171735,127.1069155633,-28.201574,20.662104,1.295708,-0.4941140512
"route-1788713848585","2",false,4,37.2889157064,127.1069189720,-27.899316,20.499282,1.639031,-0.4941140512
"route-1788713848585","2",false,5,37.2889142393,127.1069223806,-27.597059,20.336461,1.982354,-0.4015809507
"route-1788713848585","2",false,6,37.2889129501,127.1069261804,-27.260116,20.193375,2.348420,-0.4015809507
"route-1788713848585","2",false,7,37.2889116608,127.1069299802,-26.923173,20.050290,2.714485,-0.4015809507
"route-1788713848585","2",false,8,37.2889103716,127.1069337800,-26.586230,19.907204,3.080551,-0.4485590451
"route-1788713848585","2",false,9,37.2889084377,127.1069388092,-26.140276,19.692576,3.575466,-0.4485590451
"route-1788713848585","2",false,10,37.2889065038,127.1069438383,-25.694322,19.477947,4.070380,-0.4559736279
"route-1788713848585","2",false,11,37.2889050367,127.1069475822,-25.362334,19.315126,4.440146,-0.4559736279
"route-1788713848585","2",false,12,37.2889035696,127.1069513261,-25.030346,19.152304,4.809912,-0.4559736279
"route-1788713848585","2",false,13,37.2889021025,127.1069550700,-24.698358,18.989483,5.179678,-0.3976977195
"route-1788713848585","2",false,14,37.2889009022,127.1069586463,-24.381235,18.856265,5.523646,-0.3976977195
"route-1788713848585","2",false,15,37.2888997018,127.1069622226,-24.064112,18.723048,5.867613,-0.3976977195
"route-1788713848585","2",false,16,37.2888985015,127.1069657989,-23.746989,18.589830,6.211581,-0.3908377048
"route-1788713848585","2",false,17,37.2888969011,127.1069706604,-23.315900,18.412207,6.677830,-0.3908377048
"route-1788713848585","2",false,18,37.2888953006,127.1069755219,-22.884811,18.234583,7.144078,-0.3860359607
"route-1788713848585","2",false,19,37.2888939669,127.1069796290,-22.520616,18.086563,7.537205,-0.3860359607
"route-1788713848585","2",false,20,37.2888926332,127.1069837362,-22.156420,17.938544,7.930331,-0.2800986557
