route_id,route_name,closed,index,latitude,longitude,east_m,north_m,distance_m,path_yaw_rad
"route-1788715871839","3_s-static-obstacle",false,0,37.2885810771,127.1069731750,-23.092923,-16.638901,0.000000,1.2320087652
"route-1788715871839","3_s-static-obstacle",false,1,37.2885848782,127.1069748513,-22.944272,-16.217044,0.447282,1.2320087652
"route-1788715871839","3_s-static-obstacle",false,2,37.2885886793,127.1069765277,-22.795621,-15.795186,0.894564,1.2053996048
"route-1788715871839","3_s-static-obstacle",false,3,37.2885928805,127.1069785394,-22.617239,-15.328923,1.393785,1.2053996048
"route-1788715871839","3_s-static-obstacle",false,4,37.2885970817,127.1069805510,-22.438857,-14.862659,1.893006,1.2764300821
"route-1788715871839","3_s-static-obstacle",false,5,37.2886006161,127.1069818921,-22.319936,-14.470406,2.302890,1.2764300821
"route-1788715871839","3_s-static-obstacle",false,6,37.2886041504,127.1069832332,-22.201015,-14.078153,2.712774,1.3368593882
"route-1788715871839","3_s-static-obstacle",false,7,37.2886080849,127.1069844067,-22.096959,-13.641493,3.161660,1.3368593882
"route-1788715871839","3_s-static-obstacle",false,8,37.2886120194,127.1069855802,-21.992903,-13.204834,3.610547,1.4311149019
"route-1788715871839","3_s-static-obstacle",false,9,37.2886153537,127.1069861669,-21.940876,-12.834783,3.984237,1.4311149019
"route-1788715871839","3_s-static-obstacle",false,10,37.2886186880,127.1069867536,-21.888848,-12.464733,4.357927,1.5355735502
"route-1788715871839","3_s-static-obstacle",false,11,37.2886224891,127.1069869213,-21.873982,-12.042876,4.780046,1.5355735502
"route-1788715871839","3_s-static-obstacle",false,12,37.2886262902,127.1069870889,-21.859117,-11.621018,5.202165,1.7162177338
"route-1788715871839","3_s-static-obstacle",false,13,37.2886294911,127.1069865022,-21.911145,-11.265770,5.561203,1.7162177338
"route-1788715871839","3_s-static-obstacle",false,14,37.2886326920,127.1069859155,-21.963173,-10.910522,5.920241,1.8279926482
