route_id,route_name,closed,index,latitude,longitude,east_m,north_m,distance_m,path_yaw_rad
"route-1788714169750","5_T-left-in",false,0,37.2884735793,127.1072197706,-1.226312,-28.569338,0.000000,1.1628748953
"route-1788714169750","5_T-left-in",false,1,37.2884776471,127.1072219708,-1.031207,-28.117875,0.491817,1.1628748953
"route-1788714169750","5_T-left-in",false,2,37.2884817150,127.1072241710,-0.836102,-27.666413,0.983634,1.1628748953
"route-1788714169750","5_T-left-in",false,3,37.2884857828,127.1072263713,-0.640998,-27.214951,1.475451,1.1628748953
"route-1788714169750","5_T-left-in",false,4,37.2884898507,127.1072285715,-0.445893,-26.763489,1.967268,1.1628748953
"route-1788714169750","5_T-left-in",false,5,37.2884939185,127.1072307718,-0.250788,-26.312027,2.459085,1.1628748953
"route-1788714169750","5_T-left-in",false,6,37.2884979864,127.1072329720,-0.055683,-25.860565,2.950902,1.1628748953
"route-1788714169750","5_T-left-in",false,7,37.2885020542,127.1072351723,0.139422,-25.409103,3.442719,1.1628748953
"route-1788714169750","5_T-left-in",false,8,37.2885061221,127.1072373725,0.334527,-24.957640,3.934536,0.9383680465
"route-1788714169750","5_T-left-in",false,9,37.2885085895,127.1072396357,0.535206,-24.683803,4.274035,0.9383680465
"route-1788714169750","5_T-left-in",false,10,37.2885110568,127.1072418988,0.735885,-24.409965,4.613533,0.6453468792
"route-1788714169750","5_T-left-in",false,11,37.2885131241,127.1072453354,1.040621,-24.180534,4.994981,0.6453468792
"route-1788714169750","5_T-left-in",false,12,37.2885151914,127.1072487719,1.345356,-23.951102,5.376429,0.3826935003
"route-1788714169750","5_T-left-in",false,13,37.2885164584,127.1072527114,1.694686,-23.810483,5.752999,0.3826935003
"route-1788714169750","5_T-left-in",false,14,37.2885177254,127.1072566509,2.044017,-23.669864,6.129570,0.1884147950
"route-1788714169750","5_T-left-in",false,15,37.2885183256,127.1072605904,2.393348,-23.603254,6.485195,0.1884147950
"route-1788714169750","5_T-left-in",false,16,37.2885189258,127.1072645299,2.742678,-23.536645,6.840819,0.0000000000
"route-1788714169750","5_T-left-in",false,17,37.2885189258,127.1072680503,3.054846,-23.536645,7.152987,0.0000000000
"route-1788714169750","5_T-left-in",false,18,37.2885189258,127.1072715707,3.367014,-23.536645,7.465155,-0.1413027158
"route-1788714169750","5_T-left-in",false,19,37.2885185257,127.1072750911,3.679182,-23.581051,7.780465,-0.1413027158
"route-1788714169750","5_T-left-in",false,20,37.2885181256,127.1072786115,3.991350,-23.625457,8.095775,-0.2382541469
"route-1788714169750","5_T-left-in",false,21,37.2885174587,127.1072820481,4.296085,-23.699468,8.409369,-0.2382541469
"route-1788714169750","5_T-left-in",false,22,37.2885167918,127.1072854847,4.600820,-23.773478,8.722963,-0.3573743548
"route-1788714169750","5_T-left-in",false,23,37.2885157915,127.1072888374,4.898123,-23.884493,9.040317,-0.3573743548
"route-1788714169750","5_T-left-in",false,24,37.2885147913,127.1072921902,5.195425,-23.995508,9.357670,-0.3970033082
"route-1788714169750","5_T-left-in",false,25,37.2885133686,127.1072964370,5.572009,-24.153397,9.766013,-0.3970033082
"route-1788714169750","5_T-left-in",false,26,37.2885119460,127.1073006839,5.948592,-24.311285,10.174356,-0.3970033082
"route-1788714169750","5_T-left-in",false,27,37.2885105234,127.1073049307,6.325175,-24.469173,10.582698,-0.3970033082
