route_id,route_name,closed,index,latitude,longitude,east_m,north_m,distance_m,path_yaw_rad
"route-1788714465341","5_T-right-in",false,0,37.2884735793,127.1072197706,-1.226312,-28.569338,0.000000,1.1854636282
"route-1788714465341","5_T-right-in",false,1,37.2884776960,127.1072218604,-1.040994,-28.112448,0.493043,1.1854636282
"route-1788714465341","5_T-right-in",false,2,37.2884818128,127.1072239503,-0.855675,-27.655559,0.986085,1.1854636282
"route-1788714465341","5_T-right-in",false,3,37.2884859295,127.1072260402,-0.670356,-27.198669,1.479128,1.1854636282
"route-1788714465341","5_T-right-in",false,4,37.2884900463,127.1072281301,-0.485038,-26.741780,1.972170,1.1854636282
"route-1788714465341","5_T-right-in",false,5,37.2884941630,127.1072302200,-0.299719,-26.284890,2.465213,1.1854636282
"route-1788714465341","5_T-right-in",false,6,37.2884982798,127.1072323099,-0.114400,-25.828001,2.958255,1.1854636282
"route-1788714465341","5_T-right-in",false,7,37.2885023965,127.1072343998,0.070918,-25.371111,3.451298,1.1854636282
"route-1788714465341","5_T-right-in",false,8,37.2885065133,127.1072364897,0.256237,-24.914222,3.944341,1.1854636282
"route-1788714465341","5_T-right-in",false,9,37.2885106300,127.1072385795,0.441556,-24.457332,4.437383,1.1854636282
"route-1788714465341","5_T-right-in",false,10,37.2885147468,127.1072406694,0.626874,-24.000443,4.930426,1.1854636282
"route-1788714465341","5_T-right-in",false,11,37.2885188635,127.1072427593,0.812193,-23.543553,5.423468,1.1854636282
"route-1788714465341","5_T-right-in",false,12,37.2885229803,127.1072448492,0.997512,-23.086664,5.916511,1.1854636282
"route-1788714465341","5_T-right-in",false,13,37.2885270970,127.1072469391,1.182830,-22.629775,6.409554,1.1854636282
"route-1788714465341","5_T-right-in",false,14,37.2885312138,127.1072490290,1.368149,-22.172885,6.902596,1.1854636282
"route-1788714465341","5_T-right-in",false,15,37.2885353305,127.1072511189,1.553468,-21.715996,7.395639,0.8844168646
"route-1788714465341","5_T-right-in",false,16,37.2885378646,127.1072537173,1.783877,-21.434757,7.759209,0.8844168646
"route-1788714465341","5_T-right-in",false,17,37.2885403987,127.1072563156,2.014287,-21.153519,8.122780,0.4504841331
"route-1788714465341","5_T-right-in",false,18,37.2885415323,127.1072592493,2.274427,-21.027701,8.411749,0.4504841331
"route-1788714465341","5_T-right-in",false,19,37.2885426660,127.1072621830,2.534567,-20.901884,8.700717,0.2562786023
"route-1788714465341","5_T-right-in",false,20,37.2885433329,127.1072653681,2.817004,-20.827874,8.992690,0.2562786023
"route-1788714465341","5_T-right-in",false,21,37.2885439997,127.1072685532,3.099442,-20.753864,9.284664,0.0000000000
"route-1788714465341","5_T-right-in",false,22,37.2885439997,127.1072718222,3.389312,-20.753864,9.574534,0.0000000000
"route-1788714465341","5_T-right-in",false,23,37.2885439997,127.1072750911,3.679182,-20.753864,9.864404,-0.1683968664
"route-1788714465341","5_T-right-in",false,24,37.2885435329,127.1072785277,3.983917,-20.805671,10.173511,-0.1683968664
"route-1788714465341","5_T-right-in",false,25,37.2885430661,127.1072819643,4.288652,-20.857478,10.482619,-0.3416786434
"route-1788714465341","5_T-right-in",false,26,37.2885420658,127.1072854847,4.600820,-20.968493,10.813939,-0.3416786434
"route-1788714465341","5_T-right-in",false,27,37.2885410655,127.1072890051,4.912988,-21.079508,11.145260,-0.4016694978
"route-1788714465341","5_T-right-in",false,28,37.2885394384,127.1072937995,5.338131,-21.260093,11.607166,-0.4016694978
"route-1788714465341","5_T-right-in",false,29,37.2885378113,127.1072985940,5.763273,-21.440678,12.069072,-0.4016694978
"route-1788714465341","5_T-right-in",false,30,37.2885361841,127.1073033884,6.188416,-21.621263,12.530978,-0.4016694978
"route-1788714465341","5_T-right-in",false,31,37.2885345570,127.1073081829,6.613559,-21.801847,12.992884,-0.4016694978
"route-1788714465341","5_T-right-in",false,32,37.2885329298,127.1073129773,7.038702,-21.982432,13.454790,-0.4016694978
