route_id,route_name,closed,index,latitude,longitude,east_m,north_m,distance_m,path_yaw_rad
"route-1788714813315","6_T-right-out",false,0,37.2885329298,127.1073129773,7.038702,-21.982432,0.000000,2.7399231558
"route-1788714813315","6_T-right-out",false,1,37.2885345570,127.1073081829,6.613559,-21.801847,0.461906,2.7399231558
"route-1788714813315","6_T-right-out",false,2,37.2885361841,127.1073033884,6.188416,-21.621263,0.923812,2.7399231558
"route-1788714813315","6_T-right-out",false,3,37.2885378113,127.1072985940,5.763273,-21.440678,1.385718,2.7399231558
"route-1788714813315","6_T-right-out",false,4,37.2885394384,127.1072937995,5.338131,-21.260093,1.847624,2.7399231558
"route-1788714813315","6_T-right-out",false,5,37.2885410655,127.1072890051,4.912988,-21.079508,2.309531,2.7382389559
"route-1788714813315","6_T-right-out",false,6,37.2885422659,127.1072854847,4.600820,-20.946290,2.648936,2.7382389559
"route-1788714813315","6_T-right-out",false,7,37.2885434662,127.1072819643,4.288652,-20.813072,2.988341,2.5555519807
"route-1788714813315","6_T-right-out",false,8,37.2885449333,127.1072791982,4.043378,-20.650250,3.282740,2.5555519807
"route-1788714813315","6_T-right-out",false,9,37.2885464004,127.1072764322,3.798103,-20.487427,3.577139,2.3107293699
"route-1788714813315","6_T-right-out",false,10,37.2885493346,127.1072730795,3.500800,-20.161783,4.018085,2.0690028641
"route-1788714813315","6_T-right-out",false,11,37.2885525355,127.1072709002,3.307553,-19.806534,4.422493,1.9465801253
"route-1788714813315","6_T-right-out",false,12,37.2885562699,127.1072690561,3.144037,-19.392078,4.868040,1.6956760381
"route-1788714813315","6_T-right-out",false,13,37.2885605378,127.1072683856,3.084576,-18.918413,5.345422,1.5384120513
"route-1788714813315","6_T-right-out",false,14,37.2885646724,127.1072685532,3.099442,-18.459550,5.804525,1.3538186194
"route-1788714813315","6_T-right-out",false,15,37.2885674065,127.1072693076,3.166335,-18.156109,6.115253,1.3538186194
"route-1788714813315","6_T-right-out",false,16,37.2885701406,127.1072700620,3.233228,-17.852667,6.425980,1.1700978397
"route-1788714813315","6_T-right-out",false,17,37.2885742159,127.1072722226,3.424823,-17.400383,6.917172,1.1700978397
"route-1788714813315","6_T-right-out",false,18,37.2885782911,127.1072743833,3.616418,-16.948099,7.408363,1.1700978397
"route-1788714813315","6_T-right-out",false,19,37.2885823664,127.1072765440,3.808013,-16.495816,7.899555,1.1700978397
"route-1788714813315","6_T-right-out",false,20,37.2885864416,127.1072787046,3.999608,-16.043532,8.390747,1.1700978397
"route-1788714813315","6_T-right-out",false,21,37.2885905169,127.1072808653,4.191203,-15.591248,8.881939,1.1700978397
"route-1788714813315","6_T-right-out",false,22,37.2885945921,127.1072830260,4.382798,-15.138964,9.373130,1.1700978397
"route-1788714813315","6_T-right-out",false,23,37.2885986674,127.1072851866,4.574393,-14.686680,9.864322,1.1700978397
"route-1788714813315","6_T-right-out",false,24,37.2886027426,127.1072873473,4.765988,-14.234396,10.355514,1.1700978397
"route-1788714813315","6_T-right-out",false,25,37.2886068179,127.1072895080,4.957583,-13.782112,10.846706,1.1700978397
